real_estate_deal_analysis_toolkit,unnamed:_1,unnamed:_2,unnamed:_3,unnamed:_4,price,arv,estimated_rehab,gross_income_annual,sqft,lot_size_acres,units,pads,occupancy_pct,down_payment_amount,loan_amount,monthly_mortgage,vacancy_loss,maintenance,management,hoa,operating_expenses,noi,cap_rate,monthly_cashflow,annual_cashflow,cash_on_cash_pct,arv_spread_pct,estimated_flip_profit,wholesale_instant_equity_pct,deal_score,preferred_strategy,is_top_deal,imported_at
Instructions: Fill in YELLOW cells with property details. Blue cells auto-calculate. Review all tabs for complete analysis.,,,,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,hold,False,2025-11-07 03:39:02.844124
,,,,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,hold,False,2025-11-07 03:39:02.844124
PROPERTY DETAILS,,,,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,hold,False,2025-11-07 03:39:02.844124
Address:,,,Year Built:,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,hold,False,2025-11-07 03:39:02.844124
Type:,,,Bedrooms:,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,hold,False,2025-11-07 03:39:02.844124
Square Feet:,,,Bathrooms:,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,hold,False,2025-11-07 03:39:02.844124
Lot Size:,,,,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,hold,False,2025-11-07 03:39:02.844124
,,,,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,hold,False,2025-11-07 03:39:02.844124
KEY FINANCIAL INPUTS,,,,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,hold,False,2025-11-07 03:39:02.844124
Purchase Price:,250000,,Monthly Rent:,2500.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,hold,False,2025-11-07 03:39:02.844124
ARV:,350000,,Annual Tax:,3000.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,hold,False,2025-11-07 03:39:02.844124
Rehab Budget:,50000,,Annual Insurance:,1200.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,hold,False,2025-11-07 03:39:02.844124
Closing Costs:,7500,,Monthly HOA:,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,hold,False,2025-11-07 03:39:02.844124
,,,,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,hold,False,2025-11-07 03:39:02.844124
QUICK SUMMARY METRICS,,,,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,hold,False,2025-11-07 03:39:02.844124
Metric,Value,Metric,Value,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,hold,False,2025-11-07 03:39:02.844124
Total Investment:,,Potential Equity:,,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,hold,False,2025-11-07 03:39:02.844124
Equity %:,,Annual Gross Rent:,,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,hold,False,2025-11-07 03:39:02.844124
Monthly Gross Yield:,,Est. Cap Rate:,,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,hold,False,2025-11-07 03:39:02.844124
,,,,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,hold,False,2025-11-07 03:39:02.844124
DEAL QUALITY INDICATORS,,,,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,hold,False,2025-11-07 03:39:02.844124
Equity Spread:,,Cap Rate:,,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,hold,False,2025-11-07 03:39:02.844124
